tweet,emotion,clean_text,clean_text2
فاجعه فقط به زیرگرفتن ختم نشده طبق گزارش پزشکی قانونی، حدود۵۰ تیرساچمهای در #سینه یکی از #شهدای_فاطمیه ثبت شده است. #شهید_محمدحسین_حدادیان #دراویش_داعشی وحشی,5,فاجعه فقط به زیرگرفتن ختم نشده طبق گزارش پزشکی قانونی حدود۵۰ تیرساچمهای در یکی از ثبت شده است وحشی,"['فاجعه', 'زیرگرفتن', 'ختم', 'نشده', 'گزارش', 'پزشکی', 'قانونی', 'تیرساچمهای', 'ثبتشده', 'وحشی']"
اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم؛ اما باید بگویم سایت و اپ #گودریدز در دولت تدبیر و امید #فیلتر شده است. احسنت آقای #روحانی. احسنت وزیرِ جوان؛ آقای #جهرمی . #goodreads   #وحید_آنلاین,0,اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم اما باید بگویم سایت و اپ در دولت تدبیر و امید شده است احسنت آقای احسنت وزیر جوان آقای,"['دولت', 'احمدینژاد', 'اتفاق', 'میافتاد', 'انقدر', 'عصبانی', 'نمیشدم', 'بگو', 'سایت', 'اپ', 'دولت', 'تدبیر', 'امید', 'احسنت', 'احسنت', 'وزیر', 'جوان']"
پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره. نه اون جور با کیف و لذت. اون جور ترسناک و سوزاننده,1,پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره نه اون جور با کیف و لذت اون جور ترسناک و سوزاننده,"['پوست', 'لبمو', 'هرچ', 'کنده', 'میشه', 'ثریا', 'میره', 'اون', 'جور', 'کیف', 'لذت', 'اون', 'جور', 'ترسناک', 'سوزاننده']"
چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه؟؟,6,چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه,"['صبح', 'مطلب', 'خوندن', 'آمار', 'تجاوز', 'دنیا', 'برام', 'انقدر', 'جذابیت', 'کنه']"
بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست.. الان به حرفش رسیدم,2,بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست الان به حرفش رسیدم,"['بچه', 'بودم', 'خواهر', 'بانک', 'میومد', 'ساعتی', 'میخوابید', 'بهش', 'اعتراض', 'میکردم', 'انقد', 'میخوابی', 'میگفت', 'دنیا', 'هیچی', 'لذتبخش', 'خواب', 'الان', 'حرفش', 'رسید']"
فردا بالاخره میخوام برم دانشگاه خودمون! اسمشو نبر :)) منتظر کصافط شدن اعصابم توسط کارکنان حراست و خانمهای حجاب هستم,0,فردا بالاخره میخوام برم دانشگاه خودمون اسمشو نبر منتظر کصافط شدن اعصابم توسط کارکنان حراست و خانمهای حجاب هستم,"['فردا', 'بالاخره', 'میخوام', 'بر', 'دانشگاه', 'خودمون', 'اسمشو', 'نبر', 'منتظر', 'کصافط', 'اعصاب', 'توسط', 'کارکنان', 'حراست', 'خانم', 'حجاب', 'هس']"
امروز رفتم پیش آقا رضا چاپ اول کتاب خشم و هیاهوی فاکنر رو گذاشته بود تو حراجی کتابش یکسال از بابای من کوچکتره,4,امروز رفتم پیش آقا رضا چاپ اول کتاب خشم و هیاهوی فاکنر رو گذاشته بود تو حراجی کتابش یکسال از بابای من کوچکتره,"['امروز', 'رف', 'آقا', 'رضا', 'چاپ', 'کتاب', 'خشم', 'هیاهوی', 'فاکنر', 'گذاشته_بود', 'حراجی', 'کتاب', 'یکسال', 'بابای', 'کوچکتره']"
عزیزم مشکل اینجاست که فرهنگمونو باختیم بدم باختیم.,5,عزیزم مشکل اینجاست که فرهنگمونو باختیم بدم باختیم,"['عزیز', 'مشکل', 'اینجاست', 'فرهنگمونو', 'باختیم', 'بدم', 'باختیم']"
به نظرم نامه مربوط به #اصلاح_اصلاحات به #سید_محمد_خاتمی صرفا در جهت زدودن افکار و اعمالی است که ما به جریان رقیب انتقاد داریم ولی کسانی با نام اصلاحطلبی اونا رو انجام میدن، وقتی در انتخابات انجمن اسلامی اصلاحطلبِ دانشگاه دست به رد صلاحیت میزنند پس باید این اصلاحات انجامپذیرد.,4,به نظرم نامه مربوط به به صرفا در جهت زدودن افکار و اعمالی است که ما به جریان رقیب انتقاد داریم ولی کسانی با نام اصلاحطلبی اونا رو انجام میدن وقتی در انتخابات انجمن اسلامی اصلاحطلب دانشگاه دست به رد صلاحیت میزنند پس باید این اصلاحات انجامپذیرد,"['نظرم', 'نامه', 'بهبه', 'صرفا', 'جهت', 'زدودن', 'افکار', 'اعمال', 'رقیب', 'انتقاد', 'نام', 'اصلاحطلبی', 'اونا', 'انجام', 'میدن', 'انتخابات', 'انجمن', 'اسلامی', 'اصلاحطلب', 'دانشگاه', 'دست', 'رد', 'صلاحیت', 'میزنند', 'اصلاحات', 'انجامپذیرد']"
فردا پنجشنبه ۴ بهمن یا ۲۴ ژانویه روز جهانی آموزشه. به همین مناسبت #ما_رنگین_کمانیها تصمیم گرفتیم که با هشتگهای #تو_هم_بگو و خشونت_تحصیلی در این باره بنویسیم. شما هم با هر #گرایش_جنسی و #هویت_جنسیتی میتونین با ما همراه بشید. #همجنسگرا #دوجنسگرا #ترنس #رنگینکمانی,4,فردا پنجشنبه ۴ بهمن یا ۲۴ ژانویه روز جهانی آموزشه به همین مناسبت تصمیم گرفتیم که با هشتگهای و خشونت_تحصیلی در این باره بنویسیم شما هم با هر و میتونین با ما همراه بشید,"['فردا', 'پنجشنبه', 'بهمن', 'ژانویه', 'روز', 'جهانی', 'آموزشه', 'مناسبت', 'تصمیم', 'گرفتیم', 'هشتگهای', 'خشونت_تحصیلی', 'بنویس', 'میتونین', 'همراه', 'بشید']"
لغات و جملات کلیدی برای حفظ آرامش در زندگی: باشه، اینجور خوشم میاد، نه، نه، خوشم نمیاد، هر جور صلاح میدونی، نمیدونم، دوست ندارم جواب بدم، شخصیه، هر جور راحتی، ترجیح میدم که ...,4,لغات و جملات کلیدی برای حفظ آرامش در زندگی باشه اینجور خوشم میاد نه نه خوشم نمیاد هر جور صلاح میدونی نمیدونم دوست ندارم جواب بدم شخصیه هر جور راحتی ترجیح میدم که,"['لغات', 'جملات', 'کلیدی', 'حفظ', 'آرامش', 'زندگی', 'باشه', 'اینجور', 'خو', 'میاد', 'خو', 'نمیاد', 'جور', 'صلاح', 'میدونی', 'نمیدونم', 'دوست', 'ندار', 'جواب', 'بدم', 'شخصیه', 'جور', 'راحتی', 'ترجیح', 'مید']"
میگف بعضیا هم هستن ک دروغ نمیگن ولی فقط همون لحظه رو میگن! مثلا میگن دوستت داررررم واین یعنی الان دوستت دارم برای همین ساعت همین لحظه و فردا؟ نه...,5,میگف بعضیا هم هستن ک دروغ نمیگن ولی فقط همون لحظه رو میگن مثلا میگن دوستت داررررم واین یعنی الان دوستت دارم برای همین ساعت همین لحظه و فردا نه,"['میگف', 'بعضیا', 'هستن', 'ک', 'دروغ', 'نمیگن', 'همون', 'لحظه', 'میگن', 'مثلا', 'میگن', 'دوستت', 'داررم', 'واین', 'الان', 'دوستت', 'دار', 'ساعت', 'لحظه', 'فردا']"
غلط کرده!!! چنان سونامی خشم ملت آغاز شود که آغا و بیت و نصراله و اسد در این سونامی تکه تکه بشوند!!! حالا متتطر بمانید ! اندکی صبر سحر نزدیک است!,0,غلط کرده چنان سونامی خشم ملت آغاز شود که آغا و بیت و نصراله و اسد در این سونامی تکه تکه بشوند حالا متتطر بمانید اندکی صبر سحر نزدیک است,"['غلط', 'چنان', 'سونامی', 'خشم', 'ملت', 'آغاز', 'آغا', 'بیت', 'نصراله', 'اسد', 'سونامی', 'تکهتکه', 'بشوند', 'متتطر', 'بمانید', 'اندکی', 'صبر', 'سحر']"
از بیرون چیزی مشخص نبود ولی وقتی بسته رو باز کردم و پایه رو بیرون آوردم دیدم همه جاش رنگ پریدگی داره. الانم نمیدونم قبول می کنن برگشت بدم یا خیر چون بسته بندی باز شده. به نظرم از این تامیین کننده چیزی نخرید,5,از بیرون چیزی مشخص نبود ولی وقتی بسته رو باز کردم و پایه رو بیرون آوردم دیدم همه جاش رنگ پریدگی داره الانم نمیدونم قبول می کنن برگشت بدم یا خیر چون بسته بندی باز شده به نظرم از این تامیین کننده چیزی نخرید,"['بسته', 'پایه', 'آوردم', 'دید', 'جاش', 'رنگپریدگی', 'داره', 'الان', 'نمیدونم', 'قبول', 'میکنن', 'برگشت', 'بدم', 'خیر', 'بسته', 'نظرم', 'تامیین', 'نخرید']"
گریه میکنم اما از غم نیست. ترکیبی هست از شرمندگی و ترس و .. و سبک میشم.,5,گریه میکنم اما از غم نیست ترکیبی هست از شرمندگی و ترس و و سبک میشم,"['گریه', 'غم', 'ترکیب', 'هست', 'شرمندگی', 'ترس', 'سبک', 'میشم']"
دربرابرت هیچ نکردیم رب مهلت دهد اول سلامتی شما دوتا بعدخودم خدمت به شما دعای شما که همیشه میترسم از گمراهی های جامعه دعایم کن,1,دربرابرت هیچ نکردیم رب مهلت دهد اول سلامتی شما دوتا بعدخودم خدمت به شما دعای شما که همیشه میترسم از گمراهی های جامعه دعایم کن,"['دربرابرت', 'نکردیم', 'رب', 'مهلت', 'سلامتی', 'دوتا', 'بعدخودم', 'خدمت', 'دعای', 'میترسم', 'گمراهی', 'جامعه', 'دعایم', 'کن']"
حامیان نظم موجود:مطمئنی قاتل نبودن؟فتوشاپ نیست؟توباچشم خودت دیدی؟اگر واقعی باشه خوب نیست؟مال دوران خشونت و هرج و مرج سیاسیه!جزو زیاده رویهای خودسرانه بود!برخورددرشرایط جنگی بامتحدین امریکاست!توانقلاب ازاین اتفاقات تلخ میافته!مقصرگروههای مخالفند نه خط امام!لازم باشه بازهم میکنیم.,4,حامیان نظم موجودمطمئنی قاتل نبودنفتوشاپ نیستتوباچشم خودت دیدیاگر واقعی باشه خوب نیستمال دوران خشونت و هرج و مرج سیاسیهجزو زیاده رویهای خودسرانه بودبرخورددرشرایط جنگی بامتحدین امریکاستتوانقلاب ازاین اتفاقات تلخ میافتهمقصرگروههای مخالفند نه خط اماملازم باشه بازهم میکنیم,"['حام', 'نظم', 'موجودمطمئنی', 'قاتل', 'نبودنفتوشاپ', 'نیستتوباچشم', 'خودت', 'دیدیاگر', 'واقعی', 'باشه', 'نیستمال', 'دوران', 'خشونت', 'هرج', 'مرج', 'سیاسیهجزو', 'زیاده', 'روی', 'خودسرانه', 'بودبرخورددرشرایط', 'جنگی', 'بامتحدین', 'امریکاستتوانقلاب', 'ازاین', 'اتفاقات', 'تلخ', 'میافتهمقصرگروههای', 'مخالفند', 'خط', 'اماملازم', 'باشه', 'بازه']"
یجادیدم نوشته:شعبده بازلبخند،درکلاه درد...عجب جمله ای،بمن که چسبید،دم اونکه اینونوشته،گرم,2,یجادیدم نوشتهشعبده بازلبخنددرکلاه دردعجب جمله ایبمن که چسبیددم اونکه اینونوشتهگرم,"['یجادیدم', 'نوشتهشعبده', 'بازلبخنددرکلاه', 'دردعجب', 'جمله', 'ایبمن', 'چسبیددم', 'اونکه', 'اینونوشتهگرم']"
انتصاب رئیس جدید قوه قضائیه در آینده نزدیک قطعی است؛ عاجزانه از رئیس تازه نفس میخواهم تا سر و سامانی به نظام اطلاع رسانی فَشَل قوه بدهد؛ شاید تعطیل کردن برخی رسانههای این قوه، مایه تقویت باشد احیای دیدارهای مردمی رئیس وجلوگیری از اظهارات نسنجیده بعضی مسئولان قضایی هم، ضروری است,4,انتصاب رئیس جدید قوه قضائیه در آینده نزدیک قطعی است عاجزانه از رئیس تازه نفس میخواهم تا سر و سامانی به نظام اطلاع رسانی فشل قوه بدهد شاید تعطیل کردن برخی رسانههای این قوه مایه تقویت باشد احیای دیدارهای مردمی رئیس وجلوگیری از اظهارات نسنجیده بعضی مسئولان قضایی هم ضروری است,"['انتصاب', 'رئیس', 'قوه', 'قضائیه', 'آینده', 'قطعی', 'عاجزانه', 'رئیس', 'تازهنفس', 'میخواهم', 'سر', 'سامانی', 'نظام', 'اطلاعرسانی', 'فشل', 'قوه', 'بدهد', 'تعطیل', 'رسانه', 'قوه', 'مایه', 'تقویت', 'احیا', 'دیدار', 'مردمی', 'رئیس', 'وجلوگیری', 'اظهارات', 'نسنجیده', 'مسئول', 'قضایی', 'ضروری']"
شهریوری به شماره شناسنامه ۷۲۱۷، همینقدر ناشناس برای همه و همینقدر جاودانه برای من تولدت مبارک باشه. البته که همینقدر بی پاسخ میمونم و این تبریک رو نخواهی دید!,5,شهریوری به شماره شناسنامه ۷۲۱۷ همینقدر ناشناس برای همه و همینقدر جاودانه برای من تولدت مبارک باشه البته که همینقدر بی پاسخ میمونم و این تبریک رو نخواهی دید,"['شهریوری', 'شماره', 'شناسنامه', 'همینقدر', 'ناشناس', 'همینقدر', 'جاودانه', 'تولد', 'مبارک', 'باشه', 'همینقدر', 'بیپاسخ', 'میمونم', 'تبریک', 'نخواهی_دید']"
حالا همینا که به گوگوش گیر دادن ب مکرون رئیس جمهور فرانسه میگفتن عجب حرکت خفنی زده با یکی ۲۰ سال بزرگتر از خودش ازدواج کرده ، تازه گوگوش خیلی خوشگل تر و جذاب تر از زن مکرونه,6,حالا همینا که به گوگوش گیر دادن ب مکرون رئیس جمهور فرانسه میگفتن عجب حرکت خفنی زده با یکی ۲۰ سال بزرگتر از خودش ازدواج کرده تازه گوگوش خیلی خوشگل تر و جذاب تر از زن مکرونه,"['همینا', 'گوگوش', 'گیر', 'ب', 'مکرون', 'رئیسجمهور', 'فرانسه', 'میگفتن', 'عجب', 'حرکت', 'خفن', 'زده', 'سال', 'بزرگتر', 'ازدواجکرده', 'تازه', 'گوگوش', 'خوشگل', 'جذاب', 'زن', 'مکرونه']"
بعضیا هم از اونور بوم افتادن و سال نو میلادی رو فقط به دوستان مسیحیشون تبریک گفتن!!! سال نو واسه همه و همه جاست عزیز جان :),4,بعضیا هم از اونور بوم افتادن و سال نو میلادی رو فقط به دوستان مسیحیشون تبریک گفتن سال نو واسه همه و همه جاست عزیز جان,"['بعضیا', 'اونور', 'بوم', 'افتادن', 'سال', 'نو', 'میلادی', 'دوستان', 'مسیحیشون', 'تبریک', 'گفتن', 'سال', 'نو', 'واسه', 'جاست', 'عزیز', 'جان']"
چقدر خوشحال شدم سرگروه این تیمه تو برنامه شب جمعه من و تو اون دختره نیست... رو اعصابم بود,2,چقدر خوشحال شدم سرگروه این تیمه تو برنامه شب جمعه من و تو اون دختره نیست رو اعصابم بود,"['چقدر', 'خوشحال', 'شدم', 'سرگروه', 'تیمه', 'برنامه', 'شب', 'جمعه', 'اون', 'دختره', 'اعصاب']"
اعصابم کیری تر از اون چیزیه که فکرشو بکنی,0,اعصابم کیری تر از اون چیزیه که فکرشو بکنی,"['اعصاب', 'کیری', 'اون', 'چیزیه', 'فکرشو', 'بکن']"
آه، آتش! نکند شعله بگیری زیرا مادرم فاطمه بسیار به در نزدیک است لب نکن باز به نفرین که همه میدانند نالهی سوخته جانان به اثر نزدیک است آخرِ قصهی تلخِ تو ولی شیرین است وعده دادند به ما وقتِ سحر نزدیک است سید علی محمد نقیب #فاطمیه #اللهم_عجل_لولیک_الفرج,5,آه آتش نکند شعله بگیری زیرا مادرم فاطمه بسیار به در نزدیک است لب نکن باز به نفرین که همه میدانند نالهی سوخته جانان به اثر نزدیک است آخر قصهی تلخ تو ولی شیرین است وعده دادند به ما وقت سحر نزدیک است سید علی محمد نقیب,"['آه', 'آتش', 'نکند', 'شعله', 'بگیر', 'مادرم', 'فاطمه', 'لب', 'نکن', 'نفرین', 'میدانند', 'ناله', 'سوخته', 'جانان', 'آخر', 'قصه', 'تلخ', 'شیرین', 'وعده', 'وقت', 'سحر', 'سید', 'علیمحمد', 'نقیب']"
این کلیپ محجبه شدن شاخ های اینستاگرام رو می بینم همش اين جمله میاد تو ذهنم که وقتی می خوای یه چیزیو نابود کنی یا هوشمندانه بهش حمله کن یا احمقانه ازش دفاع کن,4,این کلیپ محجبه شدن شاخ های اینستاگرام رو می بینم همش اين جمله میاد تو ذهنم که وقتی می خوای یه چیزیو نابود کنی یا هوشمندانه بهش حمله کن یا احمقانه ازش دفاع کن,"['کلیپ', 'محجبه', 'شاخ', 'اینستاگرام', 'میبینم', 'همش', 'جمله', 'میاد', 'ذهن', 'میخوای', 'یه', 'چیزیو', 'نابود', 'کن', 'هوشمندانه', 'بهش', 'حمله', 'کن', 'احمقانه', 'ازش', 'دفاع', 'کن']"
کاش یه روز که دارم سیگار میکشم یه پیرمرد بیاد بگه پسرم نکش ضرر داره.منم یه نگاه بهش بکنمو بگم باشه و سیگارو زیر پام له کنم.اونم بگه افرین بیا این یه میلیارد مال تو *_*,4,کاش یه روز که دارم سیگار میکشم یه پیرمرد بیاد بگه پسرم نکش ضرر دارهمنم یه نگاه بهش بکنمو بگم باشه و سیگارو زیر پام له کنماونم بگه افرین بیا این یه میلیارد مال تو _,"['کاش', 'یه', 'روز', 'دار', 'سیگار', 'میکشم', 'یه', 'پیرمرد', 'بیاد', 'بگه', 'پسرم', 'نکش', 'ضرر', 'دارهمنم', 'یه', 'نگاه', 'بهش', 'بکنمو', 'بگم', 'باشه', 'سیگارو', 'پا', 'له', 'کنماونم', 'بگه', 'افرین', 'بیا', 'یه', 'میلیارد', 'مال']"
تفریح با خانواده یعنی من گاییده شدن اعصابم را دوست دارم.,0,تفریح با خانواده یعنی من گاییده شدن اعصابم را دوست دارم,"['تفریح', 'خانواده', 'گاییده', 'اعصاب', 'دوست', 'دار']"
"شرط می بندم حالا که دیگه در برابر افزایش نرخ ارز و طلا سِر شدیم, مسئولان تو فکرن که چجوری به مردم شوک جدید وارد کنیم تا بیشتر تو احساس بدبختی غرق بشن.",5,شرط می بندم حالا که دیگه در برابر افزایش نرخ ارز و طلا سر شدیم مسئولان تو فکرن که چجوری به مردم شوک جدید وارد کنیم تا بیشتر تو احساس بدبختی غرق بشن,"['شرط', 'میبندم', 'دیگه', 'افزایش', 'نرخ', 'ارز', 'طلا', 'سر', 'شدیم', 'مسئول', 'فکرن', 'چجوری', 'مردم', 'شوک', 'احساس', 'بدبختی', 'غرق', 'بشن']"
عزیزان آیا مستندی با موضوع جنگ دیدین که به شدت تکونتون داده باشه؟ #ریتوییت هم بکنین که عالی میشه.,4,عزیزان آیا مستندی با موضوع جنگ دیدین که به شدت تکونتون داده باشه هم بکنین که عالی میشه,"['عزیز', 'مستند', 'موضوع', 'جنگ', 'دیدین', 'شدت', 'تکونتون', 'باشه', 'بکنین', 'میشه']"
من هنوز یادمه. یکی از دلایلی که مردم قشون قشون به خاتمی رای میدادن، ترس از رییس جهور شدن ناطق نوری بود. آدمها عوض میشن. موضع آدمها و سطح استفاده از منطقشون هم همینطور. حتی اگه به خاطر منافع شخصیشون باشه. عوض میشن …,1,من هنوز یادمه یکی از دلایلی که مردم قشون قشون به خاتمی رای میدادن ترس از رییس جهور شدن ناطق نوری بود آدمها عوض میشن موضع آدمها و سطح استفاده از منطقشون هم همینطور حتی اگه به خاطر منافع شخصیشون باشه عوض میشن,"['یادمه', 'دلایل', 'مردم', 'قشون', 'قشون', 'خاتمی', 'رای', 'میدادن', 'ترس', 'رییس', 'جهور', 'ناطق', 'نوری', 'آدم', 'عوض', 'میشن', 'موضع', 'آدم', 'سطح', 'استفاده', 'منطقشون', 'همینطور', 'اگه', 'خاطر', 'منافع', 'شخصیشون', 'باشه', 'عوض', 'میشن']"
لعنت به اون روبالشی که پاکتش روی کار دوخته شده. …,3,لعنت به اون روبالشی که پاکتش روی کار دوخته شده,"['لعنت', 'اون', 'روبالشی', 'پاکت', 'کار', 'دوخته']"
به توییتر حس خیلی خوبی دارم اینجا خودمم خود واقعیم هیچ ترسی از قضاوت شدن ندارم لزومی برا پنهان کاری نیس لازم نیس حرفامو ( هرچقدم گاهی چرت و رو مخ باشن ) قورت بدم برعکس اینستا که حس میکنم هزار نفر چارچشمی زل زدن بهم ! اینستاگرامم به طرز وحشتناکی تهوع آور شده,3,به توییتر حس خیلی خوبی دارم اینجا خودمم خود واقعیم هیچ ترسی از قضاوت شدن ندارم لزومی برا پنهان کاری نیس لازم نیس حرفامو هرچقدم گاهی چرت و رو مخ باشن قورت بدم برعکس اینستا که حس میکنم هزار نفر چارچشمی زل زدن بهم اینستاگرامم به طرز وحشتناکی تهوع آور شده,"['توییتر', 'حس', 'دار', 'خودم', 'واقع', 'ترس', 'قضاوت', 'ندار', 'لزومی', 'برا', 'پنهانکاری', 'نیس', 'نیس', 'حرفامو', 'هرچقدم', 'گاهی', 'چرت', 'مخ', 'باشن', 'قورت', 'بدم', 'برعکس', 'اینستا', 'حس', 'هزار', 'نفر', 'چارچشمی', 'زل', 'زدن', 'بهم', 'اینستاگرامم', 'طرز', 'وحشتناک', 'تهوعآور']"
دوستت دارم ولی این ماهِ دی را صبر کن...! کافه گردی ها بماند بعدِ فصلِ امتحان...! صادق ابراهیم زاده,4,دوستت دارم ولی این ماه دی را صبر کن کافه گردی ها بماند بعد فصل امتحان صادق ابراهیم زاده,"['دوستت', 'دار', 'ماه', 'دی', 'صبر', 'کن', 'کافه', 'گردی', 'بماند', 'فصل', 'امتحان', 'صادق', 'ابراهیمزاده']"
